user_id,Jackass,Meet the Parents,Star Wars Prequels,Emoji Movie,12 Angry Men,The Godfather
238,5.0,4.0,,,,1.0
239,5.0,,,,1.0,1.0
240,,,3.0,1.0,5.0,
241,,3.0,3.0,,,4.0
242,1.0,3.0,4.0,,,
243,1.0,3.0,,1.0,,
244,5.0,5.0,,,3.0,
245,4.0,,,1.0,,4.0
246,4.0,,,,5.0,5.0
247,4.0,,3.0,,,1.0
248,1.0,3.0,,,,3.0
249,,3.0,,1.0,,4.0
250,1.0,,3.0,1.0,,
251,5.0,5.0,,,,2.0
252,4.0,5.0,1.0,,,
253,2.0,3.0,3.0,,,
254,5.0,,3.0,1.0,,
255,,2.0,,,5.0,4.0
256,,5.0,,2.0,,1.0
257,1.0,,3.0,2.0,,
258,,3.0,,,4.0,5.0
259,5.0,5.0,2.0,,,
260,,5.0,2.0,,,1.0
261,4.0,5.0,,,5.0,
262,,,1.0,1.0,,4.0
263,,3.0,,1.0,5.0,
264,4.0,,1.0,,5.0,
265,4.0,,,,5.0,4.0
266,,3.0,2.0,1.0,,
267,,2.0,,1.0,,4.0
268,4.0,,1.0,,,4.0
269,1.0,4.0,3.0,,,
270,4.0,,1.0,,,4.0
271,,4.0,,2.0,,4.0
272,4.0,,,1.0,,4.0
273,4.0,,,1.0,,4.0
274,5.0,,3.0,3.0,,
275,,5.0,2.0,2.0,,
276,,3.0,,,4.0,4.0
277,1.0,3.0,,,,4.0
278,3.0,,1.0,,5.0,
279,,,2.0,2.0,2.0,
280,,5.0,,1.0,4.0,
281,5.0,,2.0,1.0,,
282,1.0,,2.0,1.0,,
283,5.0,4.0,2.0,,,
284,5.0,,,1.0,,1.0
285,1.0,1.0,,5.0,,
286,1.0,3.0,3.0,,,
287,1.0,4.0,,,,4.0
288,1.0,,3.0,,,4.0
289,1.0,,,1.0,,4.0
290,,4.0,4.0,2.0,,
291,,,2.0,,2.0,1.0
292,,,1.0,,5.0,4.0
293,,4.0,2.0,,4.0,
294,1.0,3.0,4.0,,,
295,1.0,,3.0,,,5.0
296,,,2.0,,2.0,1.0
297,4.0,5.0,1.0,,,
298,1.0,3.0,,,,4.0
299,,5.0,2.0,,2.0,
300,,5.0,,2.0,2.0,
301,,,1.0,,4.0,4.0
302,5.0,5.0,,2.0,,
303,4.0,5.0,,,,4.0
304,1.0,,3.0,1.0,,
305,,5.0,,1.0,5.0,
306,,5.0,3.0,,,2.0
307,3.0,5.0,2.0,,,
308,5.0,,1.0,,1.0,
309,5.0,,,1.0,,3.0
310,1.0,2.0,,,5.0,
311,3.0,4.0,,2.0,,
312,4.0,,1.0,,,5.0
313,,,,1.0,5.0,4.0
314,,4.0,1.0,2.0,,
315,,,1.0,2.0,5.0,
316,1.0,,,2.0,4.0,
317,4.0,,,1.0,5.0,
318,5.0,5.0,,,,2.0
319,1.0,3.0,,,5.0,
320,5.0,,1.0,1.0,,
321,5.0,,2.0,,,1.0
322,,,,1.0,5.0,4.0
323,4.0,,,,5.0,4.0
324,,,2.0,,5.0,4.0
325,,,3.0,,2.0,1.0
326,,5.0,1.0,,,4.0
327,1.0,,3.0,,4.0,
328,5.0,,2.0,,,1.0
329,5.0,5.0,,,2.0,
330,,,3.0,1.0,5.0,
331,,5.0,1.0,1.0,,
332,,,2.0,,2.0,1.0
333,1.0,,,,5.0,5.0
334,3.0,,,,4.0,4.0
335,,5.0,1.0,1.0,,
336,1.0,,4.0,,5.0,
337,1.0,3.0,,1.0,,
338,4.0,,2.0,,2.0,
339,1.0,,,1.0,,4.0
340,,3.0,,1.0,5.0,
341,1.0,3.0,4.0,,,
342,5.0,,,2.0,1.0,
343,4.0,,1.0,1.0,,
344,1.0,2.0,,,5.0,
345,,5.0,2.0,3.0,,
346,,2.0,3.0,,5.0,
347,,5.0,2.0,,,1.0
348,1.0,,3.0,,,4.0
349,2.0,,,2.0,,3.0
350,,5.0,,1.0,,4.0
351,4.0,,1.0,1.0,,
352,1.0,3.0,,1.0,,
353,5.0,5.0,,,,1.0
354,,,3.0,1.0,,4.0
355,5.0,,2.0,2.0,,
356,5.0,5.0,,,2.0,
357,4.0,,1.0,,,4.0
358,,5.0,2.0,,5.0,
359,5.0,,,2.0,2.0,
360,,,,3.0,2.0,2.0
361,1.0,,3.0,,,4.0
362,1.0,,,,5.0,3.0
363,,3.0,2.0,,5.0,
364,4.0,,,1.0,5.0,
365,,2.0,,5.0,,5.0
366,,5.0,,2.0,,1.0
367,,4.0,,1.0,,3.0
368,,4.0,,,2.0,1.0
369,,,2.0,1.0,5.0,
370,,,1.0,,3.0,1.0
371,1.0,2.0,,,5.0,
372,,,3.0,1.0,,3.0
373,,,3.0,2.0,,5.0
374,5.0,,1.0,,5.0,
375,,4.0,,2.0,2.0,
376,1.0,3.0,,1.0,,
377,,,,2.0,1.0,2.0
378,,,3.0,2.0,2.0,
379,,5.0,2.0,,,3.0
380,,5.0,,1.0,,4.0
381,1.0,3.0,4.0,,,
382,,,3.0,2.0,5.0,
383,,,,1.0,5.0,4.0
384,4.0,,1.0,,,4.0
385,4.0,4.0,,2.0,,
386,1.0,,3.0,,5.0,
387,,3.0,,1.0,,4.0
388,2.0,,2.0,,,5.0
389,,3.0,3.0,1.0,,
390,4.0,5.0,,,,2.0
391,5.0,4.0,,2.0,,
392,4.0,,,1.0,5.0,
393,1.0,3.0,,,,5.0
394,,,2.0,,5.0,4.0
395,4.0,5.0,1.0,,,
396,,5.0,,2.0,3.0,
397,,5.0,3.0,,2.0,
398,,4.0,,1.0,,4.0
399,,5.0,1.0,1.0,,
400,,5.0,,,2.0,1.0
401,,2.0,,1.0,5.0,
402,5.0,5.0,2.0,,,
403,5.0,,,2.0,3.0,
404,4.0,,,1.0,,4.0
405,5.0,5.0,,1.0,,
406,5.0,,,3.0,,1.0
407,,,3.0,,1.0,4.0
408,,5.0,,2.0,,4.0
409,1.0,,,1.0,5.0,
410,1.0,4.0,,1.0,,
411,1.0,,,1.0,5.0,
412,,,1.0,1.0,5.0,
413,1.0,,,1.0,,4.0
414,,,3.0,,5.0,4.0
415,1.0,3.0,,,4.0,
416,,5.0,1.0,,,4.0
417,5.0,,2.0,,1.0,
418,,5.0,,,2.0,2.0
419,1.0,,2.0,5.0,,
420,5.0,,,,2.0,1.0
421,5.0,,,2.0,,2.0
422,,5.0,1.0,,5.0,
423,,4.0,,2.0,2.0,
424,,4.0,,1.0,,4.0
425,,4.0,,3.0,2.0,
426,4.0,5.0,,,5.0,
427,,,2.0,,2.0,1.0
428,,,2.0,,3.0,1.0
429,4.0,,,1.0,,5.0
430,4.0,,,1.0,5.0,
431,3.0,,,2.0,,3.0
432,4.0,,,,5.0,5.0
433,5.0,,1.0,,,4.0
434,,,3.0,,5.0,4.0
435,5.0,,,2.0,,1.0
436,,,,1.0,5.0,5.0
437,4.0,,2.0,1.0,,
438,,5.0,1.0,,5.0,
439,,5.0,3.0,2.0,,
440,1.0,3.0,,1.0,,
441,,,,1.0,5.0,3.0
442,5.0,5.0,,2.0,,
443,5.0,,,,2.0,1.0
444,4.0,5.0,,1.0,,
445,5.0,,2.0,,,2.0
446,1.0,,,1.0,,4.0
447,5.0,5.0,2.0,,,
448,,2.0,3.0,,1.0,
449,,5.0,,2.0,,5.0
450,5.0,5.0,,,2.0,
451,,,3.0,1.0,,4.0
452,,,3.0,1.0,,3.0
453,5.0,4.0,,,1.0,
454,5.0,,,,3.0,1.0
455,4.0,,,2.0,2.0,
456,4.0,,,,2.0,1.0
457,5.0,,2.0,1.0,,
458,,2.0,4.0,1.0,,
459,5.0,,,,2.0,2.0
460,5.0,5.0,,2.0,,
461,,5.0,1.0,,,4.0
462,4.0,5.0,,,,1.0
463,5.0,5.0,,,,1.0
464,,,3.0,,1.0,1.0
465,4.0,,3.0,1.0,,
466,1.0,,3.0,1.0,,
467,1.0,2.0,,,5.0,
468,5.0,,3.0,,1.0,
469,,,,2.0,2.0,1.0
470,4.0,,,1.0,,4.0
471,1.0,4.0,4.0,,,
472,4.0,5.0,,,5.0,
473,,5.0,,2.0,2.0,
474,4.0,,,1.0,5.0,
475,1.0,3.0,,1.0,,
476,,,1.0,,4.0,3.0
477,5.0,4.0,,,1.0,
478,,5.0,1.0,,,4.0
479,1.0,3.0,,,5.0,
480,4.0,5.0,,2.0,,
481,,4.0,,2.0,2.0,
482,1.0,,2.0,1.0,,
483,2.0,2.0,,,,5.0
484,1.0,4.0,,2.0,,
485,5.0,5.0,,,,1.0
486,,4.0,1.0,,5.0,
487,5.0,,2.0,,,1.0
488,3.0,,,1.0,,4.0
489,1.0,,3.0,,5.0,
490,4.0,,,,5.0,3.0
491,4.0,,,1.0,5.0,
492,,4.0,2.0,,,1.0
493,2.0,3.0,3.0,,,
494,,,2.0,,2.0,1.0
495,,5.0,1.0,,,3.0
496,,,2.0,2.0,2.0,
497,4.0,,2.0,1.0,,
498,,4.0,3.0,,,3.0
499,,5.0,2.0,,2.0,
500,,5.0,,,5.0,4.0
501,,,2.0,,1.0,1.0
502,5.0,5.0,,,1.0,
503,3.0,,1.0,,,4.0
504,4.0,,1.0,,,5.0
505,5.0,4.0,,2.0,,
506,1.0,,,,5.0,4.0
507,2.0,,,5.0,,5.0
508,4.0,,,1.0,,4.0
509,3.0,,1.0,1.0,,
510,,2.0,3.0,1.0,,
511,,5.0,2.0,,,1.0
512,,5.0,1.0,,5.0,
513,5.0,,,1.0,2.0,
514,5.0,5.0,,,,1.0
515,,,2.0,1.0,3.0,
516,4.0,5.0,1.0,,,
517,2.0,4.0,,,,4.0
518,,5.0,1.0,1.0,,
519,,5.0,,2.0,3.0,
520,,,1.0,2.0,5.0,
521,,5.0,,,2.0,1.0
522,4.0,,1.0,1.0,,
523,1.0,,,,4.0,3.0
524,5.0,,,1.0,,3.0
525,1.0,,3.0,,,4.0
526,4.0,,1.0,,4.0,
527,5.0,5.0,,1.0,,
528,3.0,,1.0,,5.0,
529,,,,2.0,2.0,2.0
530,,4.0,2.0,,3.0,
531,,,1.0,,5.0,4.0
532,2.0,,2.0,1.0,,
533,4.0,5.0,1.0,,,
534,1.0,2.0,,,5.0,
535,,5.0,1.0,,,4.0
536,2.0,,3.0,,,5.0
537,5.0,,,2.0,,1.0
538,1.0,,3.0,,,4.0
539,4.0,5.0,,,,4.0
540,,,1.0,2.0,,1.0
541,3.0,5.0,1.0,,,
542,5.0,,1.0,2.0,,
543,5.0,5.0,,1.0,,
544,,4.0,,1.0,,5.0
545,,5.0,,1.0,,2.0
546,,2.0,,5.0,,5.0
547,,,4.0,,2.0,5.0
548,4.0,,,,2.0,2.0
549,,,,1.0,5.0,4.0
550,4.0,5.0,1.0,,,
551,,,4.0,2.0,5.0,
552,,,,1.0,5.0,4.0
553,,,1.0,1.0,,4.0
554,,5.0,,2.0,,4.0
555,5.0,,,2.0,,1.0
556,,3.0,,,5.0,4.0
557,1.0,,,4.0,1.0,
558,4.0,4.0,,,5.0,
559,3.0,5.0,,,4.0,
560,5.0,5.0,,2.0,,
561,,,2.0,,1.0,1.0
562,5.0,,2.0,,3.0,
563,,3.0,1.0,,,4.0
564,,2.0,,,4.0,4.0
565,,,1.0,2.0,5.0,
566,4.0,,2.0,1.0,,
567,5.0,5.0,,2.0,,
568,,3.0,,,4.0,5.0
569,5.0,,,1.0,5.0,
570,,,3.0,1.0,,3.0
571,4.0,,1.0,,,3.0
572,,5.0,,2.0,,1.0
573,,2.0,3.0,,5.0,
574,5.0,,,,2.0,1.0
575,,,2.0,2.0,1.0,
576,,,2.0,2.0,,1.0
577,,4.0,,1.0,5.0,
578,4.0,,,,2.0,1.0
579,4.0,5.0,,2.0,,
580,,3.0,3.0,,,4.0
581,5.0,,,1.0,,1.0
582,3.0,5.0,,,5.0,
583,,5.0,1.0,2.0,,
584,,5.0,1.0,1.0,,
585,,5.0,,,4.0,4.0
586,,2.0,2.0,1.0,,
587,,,3.0,1.0,,3.0
588,1.0,,3.0,1.0,,
589,4.0,5.0,,1.0,,
590,5.0,5.0,,1.0,,
591,,4.0,,1.0,5.0,
592,,,3.0,2.0,,1.0
593,5.0,5.0,1.0,,,
594,5.0,5.0,,4.0,,
595,,5.0,2.0,1.0,,
596,1.0,,3.0,,4.0,
597,5.0,5.0,,,5.0,
598,5.0,5.0,1.0,,,
599,5.0,5.0,2.0,,,
600,5.0,,,2.0,,4.0
601,,5.0,,1.0,2.0,
602,,3.0,3.0,1.0,,
603,5.0,,1.0,,2.0,
604,2.0,3.0,3.0,,,
605,,4.0,,,5.0,3.0
606,,,2.0,,5.0,4.0
607,,5.0,,,5.0,4.0
608,1.0,3.0,3.0,,,
609,,,3.0,2.0,,5.0
610,,,,1.0,5.0,5.0
611,1.0,,3.0,,5.0,
612,,,,2.0,2.0,1.0
613,,,1.0,1.0,5.0,
614,3.0,,1.0,2.0,,
615,,5.0,,2.0,2.0,
616,,3.0,3.0,1.0,,
617,1.0,2.0,,,5.0,
618,4.0,5.0,,,,1.0
619,4.0,,1.0,,,4.0
620,5.0,5.0,,,2.0,
621,,,3.0,1.0,,4.0
622,1.0,3.0,4.0,,,
623,4.0,5.0,,1.0,,
624,,5.0,,,2.0,1.0
625,,3.0,4.0,1.0,,
626,5.0,,1.0,1.0,,
627,,,3.0,1.0,5.0,
628,1.0,,,1.0,,4.0
629,,5.0,2.0,,,1.0
630,,,2.0,1.0,,1.0
631,,5.0,1.0,,,4.0
632,5.0,,,1.0,5.0,
633,,,3.0,1.0,5.0,
634,3.0,,,1.0,5.0,
635,3.0,4.0,,,5.0,
636,,,3.0,,5.0,4.0
637,,,2.0,2.0,1.0,
638,5.0,,2.0,,2.0,
639,4.0,,,,5.0,5.0
640,,3.0,3.0,,,4.0
641,,5.0,2.0,2.0,,
642,,,,2.0,4.0,4.0
643,,,2.0,1.0,3.0,
644,1.0,3.0,,,,4.0
645,,5.0,1.0,1.0,,
646,1.0,,,1.0,5.0,
647,,,3.0,1.0,,4.0
648,4.0,,1.0,1.0,,
649,,,2.0,,3.0,1.0
650,,3.0,,,5.0,3.0
651,1.0,3.0,3.0,,,
652,,,2.0,2.0,,1.0
653,2.0,3.0,,1.0,,
654,5.0,5.0,2.0,,,
655,,3.0,3.0,,,4.0
656,,,,1.0,4.0,4.0
657,,3.0,4.0,,1.0,
658,,,,1.0,5.0,4.0
659,,5.0,,1.0,,3.0
660,,,2.0,1.0,4.0,
661,4.0,,,1.0,,4.0
662,4.0,,1.0,1.0,,
663,4.0,,1.0,1.0,,
664,,3.0,,1.0,5.0,
665,,5.0,2.0,,1.0,
666,,4.0,3.0,1.0,,
667,5.0,,2.0,2.0,,
668,3.0,,2.0,,,5.0
669,,3.0,,,5.0,3.0
670,4.0,5.0,,3.0,,
671,5.0,,1.0,1.0,,
672,,,1.0,,5.0,4.0
673,4.0,,1.0,1.0,,
674,5.0,,,3.0,,1.0
675,,3.0,3.0,,5.0,
676,,,1.0,,2.0,1.0
677,5.0,5.0,1.0,,,
678,5.0,,2.0,,,1.0
679,4.0,,,1.0,5.0,
680,4.0,,1.0,,,5.0
681,3.0,,,1.0,5.0,
682,,3.0,3.0,1.0,,
683,4.0,,,,2.0,1.0
684,4.0,5.0,,,,4.0
685,1.0,,,1.0,,4.0
686,1.0,3.0,,,,4.0
687,,5.0,,,3.0,1.0
688,4.0,5.0,,,,5.0
689,4.0,,,1.0,5.0,
690,3.0,5.0,1.0,,,
691,,,3.0,,5.0,4.0
692,,5.0,,1.0,,5.0
693,,5.0,1.0,,5.0,
694,,2.0,,4.0,,5.0
695,,,2.0,,5.0,4.0
696,5.0,,2.0,2.0,,
697,1.0,,,1.0,4.0,
698,,3.0,,,5.0,4.0
699,4.0,,,1.0,,5.0
700,,4.0,,,5.0,4.0
701,5.0,5.0,,,2.0,
702,,,,1.0,5.0,4.0
703,,,2.0,1.0,5.0,
704,,4.0,1.0,1.0,,
705,4.0,,1.0,1.0,,
706,,5.0,1.0,,5.0,
707,,5.0,,3.0,2.0,
708,5.0,5.0,,,2.0,
709,,5.0,1.0,,,4.0
710,1.0,,,2.0,,3.0
711,4.0,5.0,1.0,,,
712,4.0,,,1.0,,4.0
713,1.0,3.0,,,4.0,
714,4.0,,,1.0,,4.0
715,5.0,,,3.0,2.0,
716,,5.0,1.0,1.0,,
717,,,3.0,1.0,,4.0
718,,5.0,3.0,,,1.0
719,,,2.0,2.0,,1.0
720,2.0,,,1.0,4.0,
721,,,3.0,1.0,5.0,
722,,5.0,,1.0,,5.0
723,2.0,1.0,,,,5.0
724,,5.0,,,5.0,4.0
725,4.0,5.0,2.0,,,
726,,5.0,2.0,3.0,,
727,5.0,,1.0,,,2.0
728,,,3.0,,5.0,4.0
729,4.0,5.0,,1.0,,
730,,4.0,3.0,,4.0,
731,4.0,,,1.0,,3.0
732,5.0,5.0,,,,2.0
733,4.0,4.0,1.0,,,
734,5.0,,2.0,,2.0,
735,,3.0,3.0,,5.0,
736,1.0,,4.0,,5.0,
737,,3.0,,,5.0,5.0
738,,,2.0,2.0,,2.0
739,,,,2.0,3.0,1.0
740,1.0,,3.0,,1.0,
741,,,4.0,1.0,5.0,
742,2.0,3.0,,,,4.0
743,,5.0,3.0,,,1.0
744,4.0,5.0,2.0,,,
745,,3.0,,,5.0,4.0
746,5.0,,2.0,,2.0,
747,,,1.0,1.0,,4.0
748,5.0,,,2.0,3.0,
749,,2.0,,,5.0,4.0
750,4.0,5.0,,1.0,,
751,,4.0,,1.0,,4.0
752,,,,1.0,5.0,4.0
753,,5.0,1.0,,5.0,
754,1.0,,3.0,,,4.0
755,,4.0,,2.0,2.0,
756,,,2.0,,5.0,4.0
757,4.0,,1.0,,,5.0
758,,5.0,,,2.0,1.0
759,5.0,,2.0,,2.0,
760,1.0,,3.0,,,4.0
761,,,4.0,1.0,5.0,
762,5.0,,,2.0,2.0,
763,4.0,5.0,,,2.0,
764,,,2.0,,2.0,1.0
765,,,3.0,1.0,,5.0
766,5.0,4.0,,2.0,,
767,,5.0,1.0,,4.0,
768,,2.0,,1.0,5.0,
769,5.0,5.0,,2.0,,
770,4.0,5.0,,,,4.0
771,,,3.0,5.0,,5.0
772,4.0,,2.0,,,4.0
773,,5.0,,2.0,,1.0
774,1.0,,,,5.0,4.0
775,5.0,,,2.0,2.0,
776,5.0,,2.0,,,1.0
777,4.0,5.0,,,5.0,
778,4.0,,1.0,,,4.0
779,,5.0,1.0,,,4.0
780,,5.0,,,2.0,1.0
781,5.0,,1.0,3.0,,
782,,3.0,3.0,,5.0,
783,,3.0,3.0,1.0,,
784,,,1.0,1.0,,1.0
785,5.0,5.0,,2.0,,
786,,,3.0,1.0,5.0,
787,5.0,,3.0,,,2.0
788,4.0,,2.0,,,1.0
789,,5.0,,,3.0,1.0
790,4.0,,,,5.0,4.0
791,,3.0,,,5.0,4.0
792,4.0,,2.0,1.0,,
793,4.0,,3.0,,,1.0
794,4.0,5.0,,1.0,,
795,,5.0,,,5.0,4.0
796,,3.0,,,5.0,5.0
797,,3.0,4.0,,5.0,
798,2.0,,,2.0,,4.0
799,,3.0,,,5.0,4.0
800,,5.0,1.0,1.0,,
801,,,,1.0,5.0,3.0
802,,5.0,,2.0,2.0,
803,,4.0,1.0,,,3.0
804,2.0,3.0,,1.0,,
805,,3.0,,,5.0,3.0
806,1.0,,2.0,1.0,,
807,5.0,5.0,,,3.0,
808,,,,2.0,2.0,1.0
809,,5.0,2.0,2.0,,
810,5.0,5.0,1.0,,,
811,,,,2.0,1.0,1.0
812,5.0,5.0,,,,4.0
813,5.0,,,2.0,2.0,
814,,,2.0,2.0,,1.0
815,,,3.0,1.0,5.0,
816,2.0,,,1.0,,3.0
